,Function,CPU Time (s),Retiring,Front-End Bound,Bad Speculation,L1 Bound,L2 Bound,L3 Bound,Memory Bandwidth,Local Memory,Remote Memory,Remote Cache,Store Bound,Core Bound,CPU Time %,config
0,NI_FindObjects,3.035,928787200000.0,36339200000.0,0.0,0.0,18169600000.0,0.0,460652800000.0,0.0,0.0,0.0,0.0,138944000000.0,2.854187238444538,8
1,__pyx_fuse_2__pyx_f_9_ni_label_fused_read_line,2.015,740800000000.0,41484800000.0,1481600000.0,105934400000.0,14816000000.0,0.0,284467200000.0,0.0,0.0,0.0,0.0,7408000000.0,1.8949546245356652,8
2,__pyx_fuse_2__pyx_f_9_ni_label_fused_write_line,1.77,603200000000.0,15683200000.0,4825600000.0,0.0,0.0,0.0,17492800000.0,0.0,0.0,0.0,0.0,0.0,1.664550712371279,8
3,__pyx_f_9_ni_label_label_line_with_neighbor,1.41,296654400000.0,39240000000.0,76387200000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110918400000.0,1.325998025109324,8
4,__pyx_pw_9_ni_label_7_label,1.315,381600000000.0,59520000000.0,60960000000.0,17760000000.0,0.0,0.0,176640000000.0,0.0,0.0,0.0,0.0,0.0,1.236657732637419,8
5,__pyx_fuse_4__pyx_f_9_ni_label_fused_nonzero_line,0.965,270419200000.00003,30681599999.999996,37900800000.0,0.0,0.0,0.0,58956800000.00001,0.0,0.0,0.0,18950400000.0,0.0,0.9075092866882963,8
6,INT_maximum_AVX2,0.605,22300800000.0,4195200000.0,12364800000.0,0.0,18105600000.0,0.0,220800000000.0,220800000000.0,0.0,0.0,0.0,0.0,0.5689565994263411,8
7,__memmove_avx_unaligned_erms,0.56,26352000000.0,25704000000.0,13392000000.0,57456000000.0,24624000000.0,0.0,154008000000.0,0.0,0.0,0.0,216000000000.0,0.0,0.5266375135185969,8
8,legacy_gauss,0.335,109964799999.99998,4928000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34214400000.0,0.3150420839798749,8
9,__pyx_f_5numpy_6random_8_mt19937_mt19937_double,0.275,91200000000.0,0.0,37848000000.0,18878400000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2586166361028824,8
10,UBYTE_equal_AVX2,0.255,,,,96000000000.0,0.0,0.0,96000000000.0,0.0,0.0,0.0,0.0,,0.23980815347721818,8
11,UBYTE_greater_AVX2,0.24,5286400000.0,4908800000.0,0.0,0.0,8496000000.0,0.0,55318400000.0,0.0,0.0,0.0,18030400000.0,0.0,0.22570179150797004,8
12,array_boolean_subscript,0.215,36505600000.0,0.0,883200000.0,21564800000.0,0.0,0.0,73600000000.0,0.0,0.0,0.0,0.0,0.0,0.20219118822588983,8
13,_aligned_strided_to_contig_size4,0.17,8729600000.0,0.0,0.0,0.0,16665600000.0,19294400000.0,49600000000.0,0.0,0.0,0.0,0.0,,0.15987210231814547,8
14,count_nonzero_u8,0.16,23126400000.0,0.0,1372800000.0,40233600000.0,21595200000.0,0.0,52800000000.0,0.0,0.0,0.0,0.0,5068800000.0,0.15046786100531337,8
15,__ieee754_log_fma,0.15,56000000000.0,0.0,14728000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14106361969248127,8
16,legacy_normal,0.08,0.0,0.0,0.0,17544000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5088000000.0,0.07523393050265668,8
17,__pyx_f_5numpy_6random_7_common_cont,0.065,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.06112756853340856,8
18,_aligned_strided_to_contig_size1,0.06,24000000000.0,0.0,0.0,0.0,0.0,0.0,24000000000.0,0.0,0.0,0.0,0.0,13200000000.0,0.05642544787699251,8
19,_aligned_contig_cast_double_to_float,0.055,6780800000.0,0.0,0.0,0.0,17534400000.0,0.0,20800000000.0,0.0,0.0,0.0,0.0,14019200000.000002,0.05172332722057647,8
20,DOUBLE_multiply_AVX2,0.055,0.0,0.0,0.0,9600000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,979199999.9999999,0.05172332722057647,8
21,FLOAT_add_AVX2,0.05,0.0,0.0,0.0,0.0,16000000000.0,0.0,0.0,0.0,0.0,0.0,0.0,16000000000.0,0.04702120656416043,8
22,mt19937_gen,0.05,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.04702120656416043,8
23,__memset_avx2_unaligned_erms,0.035,,,,0.0,0.0,0.0,11200000000.0,0.0,0.0,0.0,0.0,,0.032914844594912306,8
24,raw_array_assign_array,0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9600000000.0,0.023510603282080215,8
25,_PyDict_LoadGlobal,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11200000000.0,0.01880848262566417,8
26,method_vectorcall_NOARGS,0.015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014106361969248127,8
27,func@0xc1d0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6400000000.0,0.009404241312832086,8
28,_contig_to_contig,0.01,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.009404241312832086,8
29,npyiter_copy_to_buffers,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.009404241312832086,8
