,Function,CPU Time (s),Retiring,Front-End Bound,Bad Speculation,L1 Bound,L2 Bound,L3 Bound,Memory Bandwidth,Local Memory,Remote Memory,Remote Cache,Store Bound,Core Bound,CPU Time %,config
0,NI_FindObjects,3.035,30602543657331.133,1197337726523.888,0.0,0.0,598668863261.944,0.0,15178016474464.578,0.0,0.0,0.0,0.0,4578056013179.571,2.854187238444538,8
1,__pyx_fuse_2__pyx_f_9_ni_label_fused_read_line,2.015,36764267990074.44,2058799007444.1685,73528535980.14888,5257290322580.645,735285359801.4888,0.0,14117478908188.584,0.0,0.0,0.0,0.0,367642679900.7444,1.8949546245356652,8
2,__pyx_fuse_2__pyx_f_9_ni_label_fused_write_line,1.77,34079096045197.742,886056497175.1411,272632768361.5819,0.0,0.0,0.0,988293785310.7344,0.0,0.0,0.0,0.0,0.0,1.664550712371279,8
3,__pyx_f_9_ni_label_label_line_with_neighbor,1.41,21039319148936.17,2782978723404.2554,5417531914893.617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7866553191489.361,1.325998025109324,8
4,__pyx_pw_9_ni_label_7_label,1.315,29019011406844.11,4526235741444.867,4635741444866.921,1350570342205.3232,0.0,0.0,13432699619771.865,0.0,0.0,0.0,0.0,0.0,1.236657732637419,8
5,__pyx_fuse_4__pyx_f_9_ni_label_fused_nonzero_line,0.965,28022715025906.74,3179440414507.7715,3927544041450.7773,0.0,0.0,0.0,6109512953367.876,0.0,0.0,0.0,1963772020725.3887,0.0,0.9075092866882963,8
6,INT_maximum_AVX2,0.605,3686082644628.099,693421487603.3058,2043768595041.3223,0.0,2992661157024.7935,0.0,36495867768595.05,36495867768595.05,0.0,0.0,0.0,0.0,0.5689565994263411,8
7,__memmove_avx_unaligned_erms,0.56,4705714285714.285,4589999999999.999,2391428571428.5713,10259999999999.998,4397142857142.8564,0.0,27501428571428.57,0.0,0.0,0.0,38571428571428.57,0.0,0.5266375135185969,8
8,legacy_gauss,0.335,32825313432835.816,1471044776119.4028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10213253731343.283,0.3150420839798749,8
9,__pyx_f_5numpy_6random_8_mt19937_mt19937_double,0.275,33163636363636.36,0.0,13762909090909.092,6864872727272.727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2586166361028824,8
10,UBYTE_equal_AVX2,0.255,,,,37647058823529.414,0.0,0.0,37647058823529.414,0.0,0.0,0.0,0.0,,0.23980815347721818,8
11,UBYTE_greater_AVX2,0.24,2202666666666.667,2045333333333.3335,0.0,0.0,3540000000000.0,0.0,23049333333333.336,0.0,0.0,0.0,7512666666666.667,0.0,0.22570179150797004,8
12,array_boolean_subscript,0.215,16979348837209.3,0.0,410790697674.4186,10030139534883.72,0.0,0.0,34232558139534.883,0.0,0.0,0.0,0.0,0.0,0.20219118822588983,8
13,_aligned_strided_to_contig_size4,0.17,5135058823529.411,0.0,0.0,0.0,9803294117647.059,11349647058823.53,29176470588235.29,0.0,0.0,0.0,0.0,,0.15987210231814547,8
14,count_nonzero_u8,0.16,14454000000000.0,0.0,858000000000.0,25146000000000.0,13497000000000.0,0.0,33000000000000.0,0.0,0.0,0.0,0.0,3168000000000.0,0.15046786100531337,8
15,__ieee754_log_fma,0.15,37333333333333.336,0.0,9818666666666.668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14106361969248127,8
16,legacy_normal,0.08,0.0,0.0,0.0,21930000000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6360000000000.0,0.07523393050265668,8
17,__pyx_f_5numpy_6random_7_common_cont,0.065,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.06112756853340856,8
18,_aligned_strided_to_contig_size1,0.06,40000000000000.0,0.0,0.0,0.0,0.0,0.0,40000000000000.0,0.0,0.0,0.0,0.0,22000000000000.0,0.05642544787699251,8
19,_aligned_contig_cast_double_to_float,0.055,12328727272727.271,0.0,0.0,0.0,31880727272727.27,0.0,37818181818181.82,0.0,0.0,0.0,0.0,25489454545454.55,0.05172332722057647,8
20,DOUBLE_multiply_AVX2,0.055,0.0,0.0,0.0,17454545454545.455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1780363636363.636,0.05172332722057647,8
21,FLOAT_add_AVX2,0.05,0.0,0.0,0.0,0.0,32000000000000.0,0.0,0.0,0.0,0.0,0.0,0.0,32000000000000.0,0.04702120656416043,8
22,mt19937_gen,0.05,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.04702120656416043,8
23,__memset_avx2_unaligned_erms,0.035,,,,0.0,0.0,0.0,32000000000000.0,0.0,0.0,0.0,0.0,,0.032914844594912306,8
24,raw_array_assign_array,0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38400000000000.0,0.023510603282080215,8
