Function,CPU Time,CPU Time:Effective Time,CPU Time:Spin Time,CPU Time:Overhead Time,Module,Function (Full),Source File,Start Address
__pyx_fuse_2__pyx_f_9_ni_label_fused_write_line,0.156131,0.156131,0.0,0.0,_ni_label.cpython-38-x86_64-linux-gnu.so,__pyx_fuse_2__pyx_f_9_ni_label_fused_write_line,[Unknown],0xbbb0
NI_FindObjects,0.139983,0.139983,0.0,0.0,_nd_image.cpython-38-x86_64-linux-gnu.so,NI_FindObjects,[Unknown],0xf570
__pyx_fuse_2__pyx_f_9_ni_label_fused_read_line,0.079974,0.079974,0.0,0.0,_ni_label.cpython-38-x86_64-linux-gnu.so,__pyx_fuse_2__pyx_f_9_ni_label_fused_read_line,[Unknown],0xb930
__pyx_f_9_ni_label_label_line_with_neighbor,0.071886,0.071886,0.0,0.0,_ni_label.cpython-38-x86_64-linux-gnu.so,__pyx_f_9_ni_label_label_line_with_neighbor,[Unknown],0xe760
__pyx_pw_9_ni_label_7_label,0.064004,0.064004,0.0,0.0,_ni_label.cpython-38-x86_64-linux-gnu.so,__pyx_pw_9_ni_label_7_label,[Unknown],0x32ba0
UBYTE_equal_AVX2,0.031978,0.031978,0.0,0.0,_multiarray_umath.cpython-38-x86_64-linux-gnu.so,UBYTE_equal_AVX2,[Unknown],0xc2620
INT_maximum_AVX2,0.028013,0.028013,0.0,0.0,_multiarray_umath.cpython-38-x86_64-linux-gnu.so,INT_maximum_AVX2,[Unknown],0xa9eb0
__pyx_fuse_4__pyx_f_9_ni_label_fused_nonzero_line,0.027995,0.027995,0.0,0.0,_ni_label.cpython-38-x86_64-linux-gnu.so,__pyx_fuse_4__pyx_f_9_ni_label_fused_nonzero_line,[Unknown],0xb790
UBYTE_greater_AVX2,0.027172,0.027172,0.0,0.0,_multiarray_umath.cpython-38-x86_64-linux-gnu.so,UBYTE_greater_AVX2,[Unknown],0xc0700
count_nonzero_u8,0.007617,0.007617,0.0,0.0,_multiarray_umath.cpython-38-x86_64-linux-gnu.so,count_nonzero_u8,[Unknown],0x22cb30
