Source Function / Function / Call Stack	CPU Time	Clockticks	Instructions Retired	CPI Rate	Retiring	Front-End Bound	Bad Speculation	L1 Bound	L2 Bound	L3 Bound	Memory Bandwidth	Local Memory	Remote Memory	Remote Cache	Store Bound	Core Bound	Average CPU Frequency	Module	Function (Full)	Source File	Start Address
func@0x3fd7b0	31.380s	111,024,000,000	327,344,000,000	0.339	68.3%	1.1%	2.0%	3.7%	0.0%	0.2%	0.2%	0.0%	0.0%	0.0%	0.0%	25.3%	3.5 GHz	[Unknown]	func@0x3fd7b0	[Unknown]	0
clear_page_erms	8.280s	29,456,000,000	384,000,000	76.708	3.8%	0.3%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	88.6%	50.3%	3.6 GHz	[Unknown]	clear_page_erms	[Unknown]	0
func@0x159f20	8.005s	27,696,000,000	78,944,000,000	0.351	75.0%	1.3%	8.5%	2.1%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	14.4%	3.5 GHz	[Unknown]	func@0x159f20	[Unknown]	0
clock_gettime	5.760s	19,920,000,000	41,200,000,000	0.483	57.6%	1.0%	0.0%	13.9%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	53.5%	3.5 GHz	[Unknown]	clock_gettime	[Unknown]	0
func@0x4e0d70	4.315s	16,672,000,000	23,456,000,000	0.711	39.9%	4.2%	12.3%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	43.7%	3.9 GHz	[Unknown]	func@0x4e0d70	[Unknown]	0
copy_user_enhanced_fast_string	4.020s	13,760,000,000	416,000,000	33.077	8.6%	0.3%	0.0%	9.7%	0.3%	8.5%	74.2%	100.0%	100.0%	0.0%	33.0%	18.3%	3.4 GHz	[Unknown]	copy_user_enhanced_fast_string	[Unknown]	0
NI_FindObjects	3.035s	10,688,000,000	41,392,000,000	0.258	86.9%	3.4%	0.0%	0.0%	1.7%	0.0%	43.1%	0.0%	0.0%	0.0%	0.0%	13.0%	3.5 GHz	[Unknown]	NI_FindObjects	[Unknown]	0
func@0x291e70	2.590s	9,344,000,000	23,440,000,000	0.399	70.3%	6.4%	0.0%	4.2%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	84.9%	3.6 GHz	[Unknown]	func@0x291e70	[Unknown]	0
func@0x36a860	2.200s	8,624,000,000	8,752,000,000	0.985	27.0%	1.7%	61.5%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	9.8%	3.9 GHz	[Unknown]	func@0x36a860	[Unknown]	0
__pyx_fuse_2__pyx_f_9_ni_label_fused_read_line	2.015s	7,408,000,000	29,808,000,000	0.249	100.0%	5.6%	0.2%	14.3%	2.0%	0.0%	38.4%	0.0%	0.0%	0.0%	0.0%	1.0%	3.7 GHz	[Unknown]	__pyx_fuse_2__pyx_f_9_ni_label_fused_read_line	[Unknown]	0
func@0x175ac0	1.880s	7,216,000,000	8,288,000,000	0.871	43.8%	0.0%	0.0%	2.7%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	76.7%	3.8 GHz	[Unknown]	func@0x175ac0	[Unknown]	0
__pyx_fuse_2__pyx_f_9_ni_label_fused_write_line	1.770s	6,032,000,000	28,464,000,000	0.212	100.0%	2.6%	0.8%	0.0%	0.0%	0.0%	2.9%	0.0%	0.0%	0.0%	0.0%	0.0%	3.4 GHz	[Unknown]	__pyx_fuse_2__pyx_f_9_ni_label_fused_write_line	[Unknown]	0
do_syscall_64	1.505s	4,704,000,000	416,000,000	11.308	14.4%	3.5%	2.3%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	79.7%	3.1 GHz	[Unknown]	do_syscall_64	[Unknown]	0
thread_main	1.430s	3,344,000,000	1,104,000,000	3.029	13.5%	6.7%	8.4%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	71.4%	2.3 GHz	[Unknown]	thread_main	[Unknown]	0
__pyx_f_9_ni_label_label_line_with_neighbor	1.410s	5,232,000,000	23,632,000,000	0.221	56.7%	7.5%	14.6%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	21.2%	3.7 GHz	[Unknown]	__pyx_f_9_ni_label_label_line_with_neighbor	[Unknown]	0
__pyx_pw_9_ni_label_7_label	1.315s	4,800,000,000	15,744,000,000	0.305	79.5%	12.4%	12.7%	3.7%	0.0%	0.0%	36.8%	0.0%	0.0%	0.0%	0.0%	0.0%	3.7 GHz	[Unknown]	__pyx_pw_9_ni_label_7_label	[Unknown]	0
__pyx_fuse_4__pyx_f_9_ni_label_fused_nonzero_line	0.965s	3,008,000,000	12,864,000,000	0.234	89.9%	10.2%	12.6%	0.0%	0.0%	0.0%	19.6%	0.0%	0.0%	0.0%	6.3%	0.0%	3.1 GHz	[Unknown]	__pyx_fuse_4__pyx_f_9_ni_label_fused_nonzero_line	[Unknown]	0
func@0x368860	0.905s	3,264,000,000	3,536,000,000	0.923	46.0%	0.0%	74.5%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	3.6 GHz	[Unknown]	func@0x368860	[Unknown]	0
entry_SYSCALL_64	0.835s	2,128,000,000	144,000,000	14.778	20.1%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	90.1%	2.5 GHz	[Unknown]	entry_SYSCALL_64	[Unknown]	0
func@0x4e0260	0.795s	2,464,000,000	11,776,000,000	0.209	100.0%	2.2%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	3.1 GHz	[Unknown]	func@0x4e0260	[Unknown]	0
__GI___clock_gettime	0.740s	2,400,000,000	5,680,000,000	0.423	61.9%	3.9%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	73.4%	3.2 GHz	[Unknown]	__GI___clock_gettime	clock_gettime.c	0
syscall_return_via_sysret	0.710s	2,352,000,000	512,000,000	4.594	11.3%	7.0%	4.7%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	77.0%	3.3 GHz	[Unknown]	syscall_return_via_sysret	[Unknown]	0
INT_maximum_AVX2	0.605s	2,208,000,000	800,000,000	2.760	10.1%	1.9%	5.6%	0.0%	8.2%	0.0%	100.0%	100.0%	0.0%	0.0%	0.0%	0.0%	3.6 GHz	[Unknown]	INT_maximum_AVX2	[Unknown]	0
__memmove_avx_unaligned_erms	0.560s	2,160,000,000	880,000,000	2.455	12.2%	11.9%	6.2%	26.6%	11.4%	0.0%	71.3%	0.0%	0.0%	0.0%	100.0%	0.0%	3.9 GHz	[Unknown]	__memmove_avx_unaligned_erms	memmove-vec-unaligned-erms.S	0
_Z16_mm256_storeu_psPfDv8_f	0.460s	960,000,000	256,000,000	3.750	0.0%	6.1%	7.9%	65.7%	0.0%	0.0%	68.7%	0.0%	0.0%	0.0%	60.7%	11.5%	2.1 GHz	[Unknown]	_Z16_mm256_storeu_psPfDv8_f	avxintrin.h	0
isolate_freepages_block	0.460s	1,712,000,000	1,088,000,000	1.574	2.5%	2.7%	11.0%	30.6%	20.8%	0.0%	100.0%	0.0%	0.0%	0.0%	0.0%	18.1%	3.7 GHz	[Unknown]	isolate_freepages_block	[Unknown]	0
