,Function,CPU Time (s),Retiring,Front-End Bound,Bad Speculation,L1 Bound,L2 Bound,L3 Bound,Memory Bandwidth,Local Memory,Remote Memory,Remote Cache,Store Bound,Core Bound,CPU Time %,config
0,ImagingResampleVertical_8bpc,614.306,28982313309653.492,70602468476.62239,0.0,317711108144.8008,0.0,70602468476.62239,317711108144.8008,0.0,0.0,0.0,35301234238.311195,6142414757466.148,3.390447343715592,4
1,ImagingResampleHorizontal_8bpc,385.98,26964688325819.99,127492616197.73044,0.0,223112078346.0283,0.0,63746308098.86522,286858386444.8935,0.0,0.0,0.0,0.0,4557861029068.863,2.1302817581585467,4
2,at::native::copy_kernel(float),358.99,1942850775787.6262,467723334911.83594,179893590350.70615,3058191035962.0044,3597871807014.1226,3525914370873.8403,28459165993481.715,35978718070141.23,467723334911.83594,143914872280.5649,32164973954706.258,1978829493857.7676,1.9813198827953176,4
3,decode_mcu,357.255,9489129725266.266,1854474590978.4329,9826306923625.98,4118378637107.949,48168171194.24501,24084085597.122505,1902642762172.678,0.0,0.0,0.0,24084085597.122505,1734054162992.8203,1.9717441564612974,4
4,THFloatStorage_copy,319.535,11361144162611.293,1288377173079.6313,1171251975526.9375,0.0,1405502370632.325,585625987763.4688,14336124180449.717,20168959018573.863,23425039510538.75,13539672837091.396,702751185316.1625,5223783810850.142,1.763561794894013,4
5,jpeg_idct_islow,318.305,16312834042820.566,682545357440.191,1501599786368.4202,455030238293.46063,0.0,22751511914.673035,1615357345941.7854,0.0,0.0,0.0,45503023829.34607,4004266096982.4546,1.7567732396255147,4
6,at::native::div_true_kernel,293.66,4146979772526.05,137090240414.08432,34272560103.52108,6169060818633.794,3530073690662.671,2467624327453.5176,26629779200435.875,31050939453790.094,308453040931.6897,0.0,5277974255942.245,11207127153851.393,1.620753772477431,4
7,at::native::copy_kernel(unsigned char),200.455,33068406974133.836,254093138110.79788,0.0,508186276221.59576,580784315681.8239,145196078920.45596,11034901997954.652,0.0,0.0,0.0,36299019730.11399,762279414332.3938,1.1063413384933714,4
8,at::native::mul_kernel,163.845,2640288565412.4326,499514052915.8656,428154902499.3134,4638344777075.895,4281549024993.134,4138830724160.03,26795360981415.363,35679575208276.12,428154902499.3134,0.0,29435649546827.797,2390531538954.5,0.9042852341196099,4
9,at::native::index_kernel,162.73,2474417255576.722,179305598230.19727,179305598230.19727,5235723468321.761,5450890186197.997,5845362502304.432,28760617956123.645,35861119646039.45,430333435752.47345,0.0,32023979843913.234,2617861734160.8804,0.8981313811729629,4
10,at::native::copy_kernel,147.125,18106473271028.035,1190754528462.192,0.0,770488224299.0654,560355072217.5021,350221920135.93884,19402294375531.01,0.0,0.0,0.0,5008173457943.926,5918750450297.365,0.81200503567303,4
11,at::native::fill_kernel,135.56,2012643257598.1113,494333431690.7642,353095308350.5459,4837405724402.479,0.0,0.0,3672191206845.6772,0.0,0.0,0.0,32837863676600.77,13629478902331.072,0.7481760586972708,4
12,__memmove_avx_unaligned_erms,102.825,3872764016532.9443,5316845514223.195,754860782883.5399,9058329394602.48,2658422757111.5977,6564006807682.956,16771037393629.953,689220714806.7104,0.0,0.0,18412039095550.69,1509721565767.0798,0.5675066629945917,4
13,ycc_rgb_convert,96.12,17395935081148.562,65398252184.769035,283392426133.99915,0.0,87197669579.69205,0.0,1373363295880.15,0.0,0.0,0.0,21799417394.92301,3967493965875.988,0.5305007580553384,4
14,jpeg_fill_bit_buffer,71.44,6073603583426.651,3403108622620.381,11958145576707.727,1961513997760.3584,0.0,47265397536.39418,1748819708846.5847,0.0,0.0,0.0,0.0,1654288913773.7964,0.39428812063538665,4
15,_int_free,65.655,9432498971898.56,15754639859873.58,1183288401492.651,3820331124819.13,0.0,3921755844947.072,6085483207676.491,19946861625161.832,946630721194.1208,0.0,33808240042.64717,2434193283070.596,0.3623598342709451,4
16,at::native::add_kernel,65.175,7750908170310.702,1012506022247.7946,0.0,523710011507.47986,1990098043728.4236,8379360184119.678,31701912696586.113,34914000767165.324,0.0,0.0,2967690065209.0527,9356952205600.307,0.35971064197104324,4
17,ImagingPackRGB,52.765,29999595186202.973,580857765564.2946,990875011844.973,820034492561.3569,307512934710.50885,170840519283.61603,12061340661423.29,0.0,0.0,0.0,820034492561.3569,580857765564.2946,0.29121798271733174,4
18,__GI___libc_malloc,49.585,8318870626197.438,18281786830694.766,1282355551073.9133,7858537864273.47,0.0,4537565796107.693,3649781183825.754,558975496621.9623,0.0,0.0,4767732177069.679,591856408187.9601,0.2736670837304822,4
19,ImagingFlipLeftRight,33.475,29023593726661.688,349681852128.45404,0.0,1188918297236.7437,69936370425.69081,524522778192.68115,18358297236743.84,5455036893203.884,0.0,0.0,874204630321.1351,1818345631067.9612,0.18475356716502758,4
20,decompress_onepass,31.815,10260216878830.74,970561056105.6105,7741379852270.941,808800880088.0088,115542982869.71555,69325789721.82932,924343862957.7244,0.0,0.0,0.0,0.0,3396963696369.6367,0.17559177712786714,4
